"Freight Flows","Corridor","Lat","Long","Grouping","Daily$","DailyTons"
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Gravel, Sand, etc.",202,15
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Machinery",2185715,808
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Misc manufactured",1267628,175
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Motor Vehicles, etc.",7623900,499
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Wood, Paper, etc.",466784,786
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Agriculture",15616,36
"Marine Drive WB I-5","Rivergate to I-5",456.0806,-1226.88062,"All Goods",1636799,1255
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Chemical",43873,61
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Coal, Oil, Waste, etc.",242567,481
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Electronics",107204,4
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Food",758870,440
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Gravel, Sand, etc.",101,8
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Machinery",227111,84
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Misc manufactured",118848,16
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Motor Vehicles, etc.",50764,3
"Marine Drive WB I-5","Rivergate to I-5",45.60806,-122.688062,"Wood, Paper, etc.",71846,121
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Agriculture",2458917,5656
"Marine Drive WB Ledbetter","Rivergate to I-5",456.37801,-1227.58713,"All Goods",13157209,10429
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Chemical",61180,85
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Coal, Oil, Waste, etc.",780813,1550
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Electronics",770281,31
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Food",3138907,1821
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Gravel, Sand, etc.",1192,89
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Machinery",963138,356
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Misc manufactured",206936,28
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Motor Vehicles, etc.",4466907,292
"Marine Drive WB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Wood, Paper, etc.",308936,520
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Agriculture",167417,385
"OR 99E NB","Rivergate to I-5",455.84635,-1226.62929,"All Goods",8014441,4491
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Chemical",76785,106
"OR 99E NB","Rivergate to I-5",45.584635,-122.662929,"Coal, Oil, Waste, etc.",819958,1627
